Name,BGG ID,Owner
Kutná Hora: The City of Silver,385610,JogoNaMesa
UNDO: Cherry Blossom Festival,271044,JogoNaMesa
Cooper Island,269511,JogoNaMesa
Magic Fold,259551,JogoNaMesa
Sea Salt &amp; Paper,367220,JogoNaMesa
Darwin's Journey,322289,JogoNaMesa
Ark Nova: Marine Worlds,368966,JogoNaMesa
Futuropia,258389,JogoNaMesa
Brian Boru: High King of Ireland,337765,JogoNaMesa
Cytosis: A Cell Biology Board Game,202977,JogoNaMesa
Etherfields,280794,JogoNaMesa
Etherfields: Stretch Goals – Harpy &amp; She-Wolf Campaigns,351544,JogoNaMesa
Land vs Sea,336929,JogoNaMesa
Cat in the Box: Deluxe Edition,345972,JogoNaMesa
Chronicles of Crime: 1400,300300,JogoNaMesa
Argent: The Consortium,144797,JogoNaMesa
Marrakesh,342810,JogoNaMesa
Leo,191538,JogoNaMesa
Tabannusi: Builders of Ur,316786,JogoNaMesa
Invisible,244460,JogoNaMesa
Cockroach Poker,11971,JogoNaMesa
Triqueta,378200,JogoNaMesa
Nobjects,276121,JogoNaMesa
Flamecraft,336986,JogoNaMesa
Europa Universalis: The Price of Power,254127,JogoNaMesa
Imperial Struggle,206480,JogoNaMesa
Cat Lady,228504,JogoNaMesa
Slide Quest,271785,JogoNaMesa
Books of Time,372631,JogoNaMesa
Splendor Duel,364073,JogoNaMesa
Insider,206051,JogoNaMesa
Long Shot: The Dice Game,295374,JogoNaMesa
Mmm!,172507,JogoNaMesa
Skymines,359438,JogoNaMesa
Sobek: 2 Players,332944,JogoNaMesa
Trails of Tucana,283864,JogoNaMesa
Beer &amp; Bread,369880,JogoNaMesa
Teotihuacan: Expansion Period,316777,JogoNaMesa
Teotihuacan: Late Preclassic Period,270364,JogoNaMesa
Earth,350184,JogoNaMesa
Hegemony: Lead Your Class to Victory,321608,JogoNaMesa
Ierusalem: Anno Domini,371972,JogoNaMesa
Troyes Dice,284584,JogoNaMesa
Airship City,256442,JogoNaMesa
Akropolis,357563,JogoNaMesa
Garum,282918,JogoNaMesa
Moesteiro,364042,JogoNaMesa
Pessoa,309728,JogoNaMesa
Quinto Império II,365980,JogoNaMesa
Rossio,276633,JogoNaMesa
Pax Pamir: Second Edition,256960,JogoNaMesa
CABO (Second Edition),271321,JogoNaMesa
IKI,177478,JogoNaMesa
Mindbug: First Contact,345584,JogoNaMesa
Shipwrights of the North Sea,75547,JogoNaMesa
Ticket to Ride: Amsterdam,309113,JogoNaMesa
Babylonia,266164,JogoNaMesa
Catacombs,57390,JogoNaMesa
Harry Potter: Hogwarts Battle,199042,JogoNaMesa
Keyper,212516,JogoNaMesa
Mandala Stones,317504,JogoNaMesa
