bgg_id,ano,rank,nome
172081,2015,405,Burgle Bros.
318084,2020,406,Furnace
21241,2006,407,Neuroshima Hex! 3.0
25292,2010,408,Merchants & Marauders
304420,2020,409,Bonfire
345584,2022,410,Mindbug: First Contact
172818,2015,411,Above and Below
246192,2018,412,Gizmos
219513,2017,413,Bärenpark
247367,2019,414,"Air, Land & Sea"
193037,2016,415,Dead of Winter: The Long Night
39856,2008,416,Dixit
176920,2015,418,Mission: Red Planet (Second/Third Edition)
77130,2010,419,Sid Meier's Civilization: The Board Game
140934,2015,420,Arboretum
297030,2020,421,Tekhenu: Obelisk of the Sun
59959,2011,422,Letters from Whitechapel
128271,2012,423,Ginkgopolis
45315,2009,424,Dungeon Lords
372,1999,425,Schotten Totten
40354,2009,426,Maria
13122,2004,427,Antiquity
70919,2011,428,Takenoko
155987,2014,429,Abyss
199042,2016,431,Harry Potter: Hogwarts Battle
351040,2022,432,Ready Set Bet
146439,2013,433,BattleLore: Second Edition
181304,2015,434,Mysterium
8217,2004,435,San Juan
245934,2018,436,Carpe Diem
246684,2018,437,Smartphone Inc.
119890,2012,439,Agricola: All Creatures Big and Small
90137,2011,440,Blood Bowl: Team Manager – The Card Game
37046,2008,441,Ghost Stories
368173,2024,442,Let's Go! To Japan
41114,2009,444,The Resistance
269210,2019,447,Optimus 2
357563,2022,449,Akropolis
24480,2006,450,The Pillars of the Earth
25554,2007,451,Notre Dame
244711,2018,452,Newton
234487,2017,455,Altiplano
303057,2020,456,Pan Am
192458,2016,458,51st State: Master Set
177478,2015,461,IKI
39683,2009,462,At the Gates of Loyang
234,1996,463,Hannibal: Rome vs. Carthage
250458,2018,464,Gùgōng
9217,2004,465,Saint Petersburg
318182,2021,467,Imperium: Legends
15987,2005,469,Arkham Horror
206480,2020,470,Imperial Struggle
101721,2012,471,Mage Wars Arena
92415,2011,472,Skull
70323,2011,473,King of Tokyo
343905,2021,474,Boonlake
236191,2017,475,London (Second Edition)
258210,2019,476,Blitzkrieg!: World War Two in 20 Minutes
194594,2017,479,Dice Forge
365258,2023,480,World Wonders
31594,2007,482,In the Year of the Dragon
198773,2016,485,Codenames: Pictures
215311,2017,486,Downforce
21348,2006,487,Ticket to Ride: Märklin
128671,2012,488,Spartacus: A Game of Blood and Treachery
385610,2023,489,Kutná Hora: The City of Silver
33160,2009,490,Endeavor
256226,2018,491,Azul: Stained Glass of Sintra
293141,2020,492,King of Tokyo: Dark Edition
1,1986,494,Die Macher
34219,2007,497,Biblios
138161,2013,498,Firefly: The Game
265736,2019,499,Tiny Towns
166669,2014,501,San Juan (Second Edition)
328565,2022,504,Caper: Europe
151347,2016,505,Millennium Blades
71,1980,507,Civilization
397385,2023,508,Pirates of Maracaibo
182134,2016,509,Evolution: Climate
229220,2017,512,Santa Maria
66188,2010,518,Fresco
355093,2022,519,Woodcraft
17392,2006,520,Here I Stand
156858,2016,523,Black Orchestra
100901,2011,525,Flash Point: Fire Rescue
386368,2024,526,Ezra and Nehemiah
251658,2018,528,Sprawlopolis
27162,2007,529,Kingsburg
18833,2005,531,The Lord of the Rings: The Confrontation
154809,2015,532,Nippon
220,1995,533,High Society
55670,2009,534,Macao
204305,2016,535,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures
353288,2022,537,Trekking Through History
161614,2015,538,Stockpile
40765,2012,539,Clash of Cultures
11,1997,540,Bohnanza
124708,2012,541,Mice and Mystics
367041,2023,542,Scholars of the South Tigris
264241,2019,544,Mandala
144189,2014,545,Fire in the Lake
12942,2004,546,No Thanks!
158899,2014,547,Colt Express
503,1998,548,Through the Desert
36932,2009,549,Claustrophobia
63628,2012,552,The Manhattan Project
121,1979,553,Dune
96913,2011,557,Lancaster
205398,2016,558,Citadels
269144,2019,560,Hadara
290359,2020,561,Undaunted: North Africa
66362,2010,562,Glen More
256952,2018,563,Zombie Kidz Evolution
176396,2016,565,Quadropolis
256730,2019,566,Pipeline
79828,2011,567,A Few Acres of Snow
359438,2022,568,Skymines
478,2000,571,Citadels
270844,2019,572,Imperial Settlers: Empires of the North
43570,2011,574,Friday
15062,2005,578,Shadows over Camelot
307002,2020,579,Regicide
180974,2015,580,Potion Explosion
274960,2019,581,Point Salad
353545,2022,582,Next Station: London
98778,2010,583,Hanabi
20437,2010,584,Lords of Vegas
